Season,Region,County,CDC Week,Week Ending Date,Age Group,Count,Centroid,FIPS
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,18-49,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,42,10/21/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,18-49,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,43,10/28/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,18-49,3,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,18-49,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,18-49,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,18-49,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,47,11/25/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,5-17,3,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,18-49,3,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,0-4,3,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,5-17,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,18-49,7,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,50-64,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,65+,2,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,0-4,2,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,5-17,5,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,18-49,7,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,50-64,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,65+,4,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,0-4,4,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,5-17,7,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,18-49,6,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,50-64,6,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,65+,10,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,0-4,5,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,5-17,13,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,18-49,11,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,50-64,12,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,65+,9,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,CENTRAL,BROOME,40,10/07/2023,0-4,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,5-17,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,18-49,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,50-64,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,65+,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,0-4,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,5-17,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,18-49,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,50-64,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,0-4,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,5-17,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,18-49,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,50-64,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,0-4,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,5-17,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,18-49,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,50-64,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,0-4,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,5-17,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,18-49,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,50-64,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,0-4,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,5-17,3,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,18-49,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,50-64,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,0-4,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,5-17,3,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,18-49,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,50-64,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,65+,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,0-4,8,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,5-17,11,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,18-49,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,50-64,4,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,65+,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,0-4,5,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,5-17,10,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,18-49,5,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,50-64,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,65+,7,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,0-4,5,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,5-17,7,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,18-49,13,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,50-64,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,65+,5,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,0-4,3,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,5-17,17,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,18-49,10,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,50-64,6,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,65+,7,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,0-4,10,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,5-17,40,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,18-49,19,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,50-64,9,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,65+,17,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,0-4,18,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,5-17,28,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,18-49,57,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,50-64,33,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,65+,16,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,UNKNOWN,0,"(42.1619773, -75.830291)",36007
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,0-4,1,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,5-17,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,18-49,1,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,50-64,1,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,65+,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,40,10/07/2023,UNKNOWN,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,0-4,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,5-17,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,18-49,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,50-64,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,65+,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,41,10/14/2023,UNKNOWN,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,42,10/21/2023,0-4,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,42,10/21/2023,5-17,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,42,10/21/2023,18-49,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,42,10/21/2023,50-64,0,"(42.2448527, -78.6810055)",36009
2023-2024,WESTERN,CATTARAUGUS,42,10/21/2023,65+,0,"(42.2448527, -78.6810055)",36009
